time,open,high,low,close
1702231200000,1.35647,1.35647,1.35647,1.35647
1702231500000,1.35672,1.35677,1.35672,1.35677
1702231800000,1.35707,1.35853,1.35707,1.35853
1702232100000,1.35873,1.35873,1.35873,1.35873
1702232400000,1.35775,1.35904,1.35775,1.35904
1702232700000,1.35803,1.35803,1.35803,1.35803
1702233000000,1.35778,1.35778,1.35778,1.35778
1702233300000,1.35773,1.35773,1.35773,1.35773
1702233600000,1.35773,1.35773,1.35773,1.35773
1702233900000,1.35792,1.35794,1.35792,1.35794
1702234500000,1.35792,1.35792,1.35792,1.35792
1702235400000,1.35773,1.35773,1.35773,1.35773
1702236000000,1.35792,1.35792,1.35792,1.35792
1702236600000,1.35792,1.35792,1.35792,1.35792
1702236900000,1.35773,1.35773,1.35773,1.35773
1702237200000,1.35792,1.35792,1.35792,1.35792
1702238400000,1.35773,1.3582,1.35773,1.3582
1702238700000,1.35816,1.35816,1.35816,1.35816
1702239000000,1.358,1.358,1.358,1.358
1702239600000,1.35801,1.35801,1.35801,1.35801
1702239900000,1.358,1.358,1.358,1.358
1702240500000,1.35801,1.35801,1.35799,1.35799
1702241400000,1.35801,1.35801,1.35801,1.35801
1702242000000,1.35774,1.35799,1.35774,1.35792
1702242300000,1.35792,1.35797,1.35774,1.35797
1702242600000,1.35781,1.35797,1.35777,1.35781
1702242900000,1.35797,1.35797,1.35777,1.35777
1702243200000,1.35801,1.35815,1.3577,1.35782
1702243500000,1.35817,1.35817,1.3577,1.35782
1702243800000,1.35782,1.3579,1.35782,1.35782
1702244100000,1.35782,1.358,1.35767,1.358
1702244400000,1.35792,1.35821,1.35767,1.35821
1702245000000,1.35774,1.35821,1.35774,1.35821
1702245300000,1.35763,1.3579,1.35763,1.3579
1702245600000,1.3579,1.35794,1.35768,1.35777
1702245900000,1.35794,1.35853,1.35778,1.35846
1702246200000,1.35845,1.35854,1.35792,1.35831
1702246500000,1.35852,1.35852,1.35799,1.35838
1702246800000,1.35839,1.35851,1.35801,1.3584
1702247100000,1.35845,1.35851,1.35831,1.35844
1702247400000,1.35853,1.35866,1.35837,1.35865
1702247700000,1.35864,1.35869,1.35837,1.35863
1702248000000,1.35864,1.35864,1.35828,1.35828
1702248300000,1.35856,1.35856,1.35799,1.35799
1702248600000,1.35798,1.35848,1.35798,1.35821
1702248900000,1.35824,1.35845,1.35789,1.35799
1702249200000,1.3582,1.35865,1.35809,1.35824
1702249500000,1.35823,1.35823,1.35796,1.35799
1702249800000,1.35806,1.35825,1.35798,1.35825
1702250100000,1.35821,1.35834,1.35814,1.3583
1702250400000,1.35831,1.35832,1.35792,1.35797
1702250700000,1.35797,1.35816,1.35792,1.35813
1702251000000,1.35815,1.35836,1.35812,1.35834
1702251300000,1.35833,1.35835,1.35804,1.35824
1702251600000,1.35825,1.35841,1.35816,1.35835
1702251900000,1.35836,1.35848,1.35834,1.35843
1702252200000,1.35844,1.35854,1.35843,1.3585
1702252500000,1.35848,1.3585,1.35808,1.35808
1702252800000,1.35809,1.35834,1.35784,1.35827
1702253100000,1.35823,1.35844,1.35816,1.35836
1702253400000,1.35837,1.35843,1.35816,1.3582
1702253700000,1.35822,1.35832,1.35818,1.3583
1702254000000,1.35824,1.35825,1.3578,1.358
1702254300000,1.3578,1.35853,1.3578,1.3582
1702254600000,1.35842,1.3586,1.3582,1.35843
1702254900000,1.3583,1.35853,1.3582,1.35844
1702255200000,1.35845,1.35854,1.3582,1.35852
1702255500000,1.35853,1.3586,1.3582,1.35855
1702255800000,1.35856,1.35871,1.3583,1.35862
1702256100000,1.35861,1.35874,1.3582,1.35843
1702256400000,1.35842,1.359,1.3581,1.35889
1702256700000,1.35888,1.35895,1.3585,1.35883
1702257000000,1.35881,1.35902,1.3585,1.35859
1702257300000,1.3586,1.35903,1.3584,1.35892
1702257600000,1.35894,1.35896,1.3585,1.35881
1702257900000,1.3588,1.35901,1.3586,1.359
1702258200000,1.35896,1.35931,1.35888,1.3589
1702258500000,1.35909,1.35923,1.3586,1.35888
1702258800000,1.35893,1.35915,1.3587,1.3591
1702259100000,1.35918,1.35966,1.3589,1.3593
1702259400000,1.35948,1.35975,1.3592,1.35974
1702259700000,1.35972,1.35978,1.3593,1.35965
1702260000000,1.35963,1.35984,1.3594,1.35968
1702260300000,1.35968,1.35984,1.3594,1.35968
1702260600000,1.3597,1.35972,1.3593,1.35966
1702260900000,1.35965,1.35977,1.3593,1.35967
1702261200000,1.35969,1.35991,1.3594,1.35989
1702261500000,1.3599,1.35994,1.3595,1.3596
1702261800000,1.3598,1.36,1.3596,1.35992
1702262100000,1.35991,1.35993,1.3595,1.35993
1702262400000,1.35992,1.35993,1.3595,1.3597
1702262700000,1.35974,1.35976,1.3594,1.3597
1702263000000,1.3595,1.3598,1.3594,1.35976
1702263300000,1.35979,1.3599,1.3595,1.3597
1702263600000,1.35973,1.35997,1.3595,1.35987
1702263900000,1.35986,1.35992,1.3596,1.3596
1702264200000,1.35985,1.36004,1.3596,1.35995
1702264500000,1.36,1.36001,1.3596,1.35986
1702264800000,1.3598,1.35998,1.3596,1.35985
1702265100000,1.35984,1.35999,1.3596,1.3596
1702265400000,1.35991,1.36001,1.3596,1.3597
1702265700000,1.35997,1.36,1.3595,1.3596
1702266000000,1.35988,1.36001,1.3596,1.35989
1702266300000,1.3599,1.35998,1.3596,1.35993
1702266600000,1.35994,1.35998,1.3597,1.35994
1702266900000,1.35992,1.35998,1.3597,1.35996
1702267200000,1.3599,1.36011,1.3597,1.36004
1702267500000,1.36006,1.36012,1.3598,1.36011
1702267800000,1.3601,1.36021,1.3599,1.36014
1702268100000,1.36017,1.36022,1.3599,1.36016
1702268400000,1.3601,1.3604,1.3599,1.3603
1702268700000,1.3603,1.36033,1.3599,1.3601
1702269000000,1.36016,1.36026,1.3599,1.3602
1702269300000,1.36023,1.36029,1.36,1.3601
1702269600000,1.3602,1.3603,1.3599,1.3602
1702269900000,1.36018,1.36033,1.3599,1.3602
1702270200000,1.36019,1.36025,1.3599,1.36024
1702270500000,1.3601,1.36025,1.3599,1.36016
1702270800000,1.36015,1.36026,1.3599,1.36012
1702271100000,1.36014,1.3602,1.3599,1.36012
1702271400000,1.36014,1.36027,1.3599,1.36023
1702271700000,1.36024,1.36034,1.36,1.36029
1702272000000,1.3603,1.36035,1.36,1.36035
1702272300000,1.36035,1.3605,1.36,1.36022
1702272600000,1.36025,1.36025,1.3598,1.35999
1702272900000,1.36,1.36015,1.3597,1.36006
1702273200000,1.36006,1.36009,1.3597,1.35993
1702273500000,1.35992,1.36002,1.3596,1.3596
1702273800000,1.35983,1.35991,1.3595,1.35989
1702274100000,1.35988,1.35989,1.3593,1.35959
1702274400000,1.35963,1.35965,1.3592,1.3595
1702274700000,1.3593,1.35951,1.3591,1.35941
1702275000000,1.3594,1.3596,1.3592,1.3594
1702275300000,1.35939,1.35946,1.359,1.35917
1702275600000,1.35924,1.35931,1.3589,1.35925
1702275900000,1.35926,1.3593,1.3588,1.35903
1702276200000,1.35904,1.3593,1.3588,1.35928
1702276500000,1.35926,1.3593,1.3589,1.35919
1702276800000,1.3592,1.35934,1.3589,1.3591
1702277100000,1.3593,1.35955,1.3591,1.3595
1702277400000,1.3595,1.35952,1.3592,1.35947
1702277700000,1.35945,1.3595,1.3588,1.35905
1702278000000,1.35903,1.35927,1.3587,1.35899
1702278300000,1.359,1.359,1.3581,1.3582
1702278600000,1.35847,1.3585,1.358,1.3583
1702278900000,1.35835,1.35851,1.358,1.3584
1702279200000,1.35847,1.35858,1.3582,1.3583
1702279500000,1.35853,1.35872,1.3583,1.35872
1702279800000,1.35874,1.35899,1.3583,1.35885
1702280100000,1.35881,1.35901,1.3584,1.35872
1702280400000,1.35873,1.35916,1.3584,1.35904
1702280700000,1.359,1.35916,1.3586,1.35913
1702281000000,1.35908,1.35935,1.3588,1.35929
1702281300000,1.3593,1.35945,1.359,1.35918
1702281600000,1.35916,1.35919,1.358,1.35826
1702281900000,1.35829,1.35841,1.3579,1.35835
1702282200000,1.35836,1.35885,1.3579,1.3588
1702282500000,1.35876,1.35913,1.3585,1.3586
1702282800000,1.3589,1.35908,1.3584,1.3588
1702283100000,1.35872,1.35914,1.3585,1.35898
1702283400000,1.35905,1.3593,1.3587,1.359
1702283700000,1.35902,1.35935,1.3586,1.35909
1702284000000,1.35907,1.35952,1.3589,1.35931
1702284300000,1.35943,1.3595,1.359,1.35927
1702284600000,1.35932,1.35947,1.359,1.35942
1702284900000,1.35943,1.35978,1.3592,1.35957
1702285200000,1.35956,1.35984,1.3592,1.35952
1702285500000,1.35957,1.35957,1.359,1.35932
1702285800000,1.35929,1.35974,1.3591,1.35967
1702286100000,1.35967,1.35985,1.3592,1.35947
1702286400000,1.35947,1.3595,1.3587,1.35884
1702286700000,1.35882,1.35895,1.3584,1.3587
1702287000000,1.35863,1.35893,1.3584,1.35889
1702287300000,1.3588,1.35912,1.3585,1.35885
1702287600000,1.35885,1.35905,1.3584,1.35895
1702287900000,1.35896,1.35911,1.3586,1.35903
1702288200000,1.35904,1.35935,1.3588,1.35934
1702288500000,1.35929,1.35946,1.3588,1.35926
1702288800000,1.35927,1.35935,1.3589,1.35923
1702289100000,1.3592,1.35959,1.359,1.35932
1702289400000,1.35933,1.35937,1.3589,1.35913
1702289700000,1.35914,1.35917,1.3585,1.3588
1702290000000,1.35891,1.3591,1.3586,1.35896
1702290300000,1.35897,1.35924,1.3587,1.3592
1702290600000,1.35922,1.35932,1.3588,1.359
1702290900000,1.35924,1.35936,1.3589,1.35932
1702291200000,1.35931,1.35934,1.3589,1.35919
1702291500000,1.35913,1.35939,1.3589,1.35928
1702291800000,1.35927,1.35957,1.359,1.35957
1702292100000,1.35954,1.35964,1.3592,1.3594
1702292400000,1.35944,1.35966,1.3592,1.3594
1702292700000,1.35964,1.35988,1.3593,1.35971
1702293000000,1.3597,1.35974,1.3592,1.3592
1702293300000,1.35949,1.35987,1.3592,1.35978
1702293600000,1.35981,1.3599,1.3595,1.35975
1702293900000,1.35974,1.35977,1.3594,1.35964
1702294200000,1.35965,1.35966,1.3592,1.35956
1702294500000,1.35953,1.35953,1.359,1.35943
1702294800000,1.35944,1.35947,1.3589,1.35928
1702295100000,1.35925,1.35967,1.359,1.35959
1702295400000,1.35955,1.35962,1.359,1.35926
1702295700000,1.35927,1.35929,1.3589,1.35916
1702296000000,1.35917,1.35917,1.3586,1.35874
1702296300000,1.35876,1.35882,1.3582,1.3585
1702296600000,1.35849,1.35851,1.358,1.35837
1702296900000,1.3583,1.35839,1.3579,1.35827
1702297200000,1.35824,1.35856,1.358,1.35856
1702297500000,1.35855,1.35876,1.3582,1.35846
1702297800000,1.35845,1.35845,1.358,1.35834
1702298100000,1.35834,1.35845,1.3578,1.358
1702298400000,1.358,1.35802,1.3576,1.35787
1702298700000,1.35782,1.35799,1.3573,1.35761
1702299000000,1.35759,1.35769,1.3572,1.3573
1702299300000,1.35752,1.35752,1.3568,1.35725
1702299600000,1.35725,1.35799,1.357,1.35793
1702299900000,1.35798,1.35808,1.3576,1.35801
1702300200000,1.3578,1.35816,1.3574,1.35764
1702300500000,1.35765,1.35768,1.357,1.35716
1702300800000,1.3572,1.35765,1.3567,1.35702
1702301100000,1.3569,1.35712,1.3566,1.35683
1702301400000,1.35686,1.35739,1.3566,1.35735
1702301700000,1.35734,1.35745,1.3567,1.35715